"LGA_CODE_2016","sex","age","pop"
"LGA10050","M",0,340
"LGA10130","M",0,168
"LGA10250","M",0,174
"LGA10300","M",0,8
"LGA10470","M",0,256
"LGA10550","M",0,143
"LGA10600","M",0,49
"LGA10650","M",0,47
"LGA10750","M",0,2454
"LGA10800","M",0,31
"LGA10850","M",0,44
"LGA10900","M",0,373
"LGA10950","M",0,27
"LGA11100","M",0,313
"LGA11150","M",0,24
"LGA11200","M",0,16
"LGA11250","M",0,97
"LGA11300","M",0,151
"LGA11350","M",0,147
"LGA11400","M",0,91
"LGA11450","M",0,679
"LGA11500","M",0,1082
"LGA11520","M",0,580
"LGA11570","M",0,2354
"LGA11600","M",0,14
"LGA11650","M",0,1836
"LGA11700","M",0,11
"LGA11720","M",0,360
"LGA11730","M",0,243
"LGA11750","M",0,35
"LGA11800","M",0,386
"LGA12000","M",0,35
"LGA12150","M",0,34
"LGA12350","M",0,59
"LGA12380","M",0,1663
"LGA12700","M",0,36
"LGA12730","M",0,49
"LGA12750","M",0,125
"LGA12850","M",0,1109
"LGA12870","M",0,52
"LGA12900","M",0,59
"LGA12930","M",0,863
"LGA12950","M",0,26
"LGA13010","M",0,29
"LGA13310","M",0,165
"LGA13340","M",0,44
"LGA13450","M",0,157
"LGA13510","M",0,59
"LGA13550","M",0,86
"LGA13660","M",0,28
"LGA13800","M",0,395
"LGA13850","M",0,11
"LGA13910","M",0,106
"LGA14000","M",0,733
"LGA14100","M",0,58
"LGA14170","M",0,1122
"LGA14200","M",0,103
"LGA14300","M",0,38
"LGA14350","M",0,150
"LGA14400","M",0,95
"LGA14500","M",0,468
"LGA14550","M",0,27
"LGA14600","M",0,52
"LGA14650","M",0,1166
"LGA14700","M",0,254
"LGA14750","M",0,64
"LGA14850","M",0,209
"LGA14870","M",0,117
"LGA14900","M",0,1487
"LGA14920","M",0,51
"LGA14950","M",0,15
"LGA15050","M",0,514
"LGA15240","M",0,377
"LGA15270","M",0,151
"LGA15300","M",0,119
"LGA15350","M",0,157
"LGA15520","M",0,53
"LGA15560","M",0,25
"LGA15650","M",0,130
"LGA15700","M",0,82
"LGA15750","M",0,84
"LGA15800","M",0,36
"LGA15850","M",0,33
"LGA15900","M",0,916
"LGA15950","M",0,500
"LGA15990","M",0,1447
"LGA16100","M",0,26
"LGA16150","M",0,293
"LGA16200","M",0,82
"LGA16260","M",0,1579
"LGA16350","M",0,1482
"LGA16380","M",0,350
"LGA16400","M",0,360
"LGA16490","M",0,378
"LGA16550","M",0,823
"LGA16610","M",0,131
"LGA16650","M",0,709
"LGA16700","M",0,659
"LGA16900","M",0,407
"LGA16950","M",0,503
"LGA17000","M",0,135
"LGA17040","M",0,88
"LGA17080","M",0,84
"LGA17100","M",0,231
"LGA17150","M",0,1286
"LGA17200","M",0,909
"LGA17310","M",0,360
