pop,LGA_CODE_2016,sex,Ed,pop_pct
16963,LGA10050,P,Y12,42.8012717
12180,LGA10130,P,Y12,53.21565886
14389,LGA10250,P,Y12,43.1855698
503,LGA10300,P,Y12,29.26119837
13902,LGA10470,P,Y12,44.04105683
10445,LGA10550,P,Y12,38.7468932
4171,LGA10600,P,Y12,41.68498901
2047,LGA10650,P,Y12,30.10736873
142391,LGA10750,P,Y12,57.60992701
1300,LGA10800,P,Y12,28.62805549
2023,LGA10850,P,Y12,37.01061105
34246,LGA10900,P,Y12,57.09284297
623,LGA10950,P,Y12,30.30155642
23986,LGA11100,P,Y12,64.14569572
569,LGA11150,P,Y12,28.97148676
306,LGA11200,P,Y12,24.95921697
3635,LGA11250,P,Y12,25.47302032
22333,LGA11300,P,Y12,72.40160799
13240,LGA11350,P,Y12,52.33408435
3852,LGA11400,P,Y12,38.68635131
27831,LGA11450,P,Y12,49.22094689
57705,LGA11500,P,Y12,49.10060924
50108,LGA11520,P,Y12,70.15470774
151176,LGA11570,P,Y12,57.5818634
737,LGA11600,P,Y12,34.8628193
106672,LGA11650,P,Y12,41.64873908
333,LGA11700,P,Y12,22.94968987
11990,LGA11720,P,Y12,28.25164939
12629,LGA11730,P,Y12,31.01195884
1055,LGA11750,P,Y12,30.18597997
22890,LGA11800,P,Y12,40.08194999
988,LGA12000,P,Y12,30.24181206
849,LGA12150,P,Y12,28.00131926
2886,LGA12350,P,Y12,29.09274194
97509,LGA12380,P,Y12,59.29004445
2307,LGA12700,P,Y12,32.94302442
2327,LGA12730,P,Y12,33.3094761
11487,LGA12750,P,Y12,37.22656123
76178,LGA12850,P,Y12,49.95671791
3002,LGA12870,P,Y12,30.5796068
2408,LGA12900,P,Y12,33.10875842
78893,LGA12930,P,Y12,67.44836195
934,LGA12950,P,Y12,28.13253012
2096,LGA13010,P,Y12,29.62962963
8425,LGA13310,P,Y12,36.16811196
2685,LGA13340,P,Y12,34.91547464
6830,LGA13450,P,Y12,35.1880474
2800,LGA13510,P,Y12,31.80372558
3058,LGA13550,P,Y12,32.78301887
1271,LGA13660,P,Y12,30.66344994
20236,LGA13800,P,Y12,40.93207654
760,LGA13850,P,Y12,32.56212511
4645,LGA13910,P,Y12,32.64689345
78375,LGA14000,P,Y12,72.21705198
7552,LGA14100,P,Y12,72.19195106
106941,LGA14170,P,Y12,71.25267345
4077,LGA14200,P,Y12,32.34174203
1329,LGA14300,P,Y12,26.426725
6290,LGA14350,P,Y12,27.32762741
8556,LGA14400,P,Y12,49.95912647
71546,LGA14500,P,Y12,81.41607019
2218,LGA14550,P,Y12,30.82267927
1482,LGA14600,P,Y12,31.592411
61387,LGA14650,P,Y12,39.78702305
22676,LGA14700,P,Y12,80.97993
2403,LGA14750,P,Y12,29.21225383
14170,LGA14850,P,Y12,41.88837649
4888,LGA14870,P,Y12,28.97451097
81128,LGA14900,P,Y12,54.25787337
1765,LGA14920,P,Y12,29.441201
752,LGA14950,P,Y12,31.45127562
22310,LGA15050,P,Y12,38.69703224
22116,LGA15240,P,Y12,30.041974
6250,LGA15270,P,Y12,33.8624912
