LGA_CODE_2016,sex,Age,income,pop,pop_pct
LGA10050,P,TOT$,NEG_NIL,2655,3.201611056
LGA10130,P,TOT$,NEG_NIL,2136,4.42776891
LGA10250,P,TOT$,NEG_NIL,2054,2.946069994
LGA10300,P,TOT$,NEG_NIL,158,4.379157428
LGA10470,P,TOT$,NEG_NIL,2474,3.72713851
LGA10550,P,TOT$,NEG_NIL,1643,2.934924349
LGA10600,P,TOT$,NEG_NIL,745,3.559143895
LGA10650,P,TOT$,NEG_NIL,429,3.056208592
LGA10750,P,TOT$,NEG_NIL,32891,6.317781065
LGA10800,P,TOT$,NEG_NIL,334,3.528417494
LGA10850,P,TOT$,NEG_NIL,428,3.718505647
LGA10900,P,TOT$,NEG_NIL,4981,3.964186232
LGA10950,P,TOT$,NEG_NIL,159,3.707157846
LGA11100,P,TOT$,NEG_NIL,4512,5.82411483
LGA11150,P,TOT$,NEG_NIL,129,3.197818542
LGA11200,P,TOT$,NEG_NIL,79,3.118831425
LGA11250,P,TOT$,NEG_NIL,927,3.140350283
LGA11300,P,TOT$,NEG_NIL,5550,8.669030474
LGA11350,P,TOT$,NEG_NIL,1494,2.84419738
LGA11400,P,TOT$,NEG_NIL,834,3.972942073
LGA11450,P,TOT$,NEG_NIL,5515,4.633402505
LGA11500,P,TOT$,NEG_NIL,13882,5.636101581
LGA11520,P,TOT$,NEG_NIL,8650,5.86623625
LGA11570,P,TOT$,NEG_NIL,38198,6.938568655
LGA11600,P,TOT$,NEG_NIL,151,3.450639854
LGA11650,P,TOT$,NEG_NIL,20840,3.898052096
LGA11700,P,TOT$,NEG_NIL,120,4.034969738
LGA11720,P,TOT$,NEG_NIL,3419,3.868697384
LGA11730,P,TOT$,NEG_NIL,2722,3.212557536
LGA11750,P,TOT$,NEG_NIL,327,4.504752721
LGA11800,P,TOT$,NEG_NIL,3935,3.301645369
LGA12000,P,TOT$,NEG_NIL,259,3.765082134
LGA12150,P,TOT$,NEG_NIL,195,3.123498318
LGA12350,P,TOT$,NEG_NIL,663,3.218446602
LGA12380,P,TOT$,NEG_NIL,26076,7.59314532
LGA12700,P,TOT$,NEG_NIL,582,3.971882891
LGA12730,P,TOT$,NEG_NIL,453,3.111904925
LGA12750,P,TOT$,NEG_NIL,1763,2.762370343
LGA12850,P,TOT$,NEG_NIL,22917,7.122367223
LGA12870,P,TOT$,NEG_NIL,613,3.008441303
LGA12900,P,TOT$,NEG_NIL,554,3.628028815
LGA12930,P,TOT$,NEG_NIL,17404,7.119976763
LGA12950,P,TOT$,NEG_NIL,233,3.389583939
LGA13010,P,TOT$,NEG_NIL,433,2.955833163
LGA13310,P,TOT$,NEG_NIL,1695,3.496719891
LGA13340,P,TOT$,NEG_NIL,608,3.745456786
LGA13450,P,TOT$,NEG_NIL,1467,3.617755857
LGA13510,P,TOT$,NEG_NIL,570,3.12345882
LGA13550,P,TOT$,NEG_NIL,650,3.356051219
LGA13660,P,TOT$,NEG_NIL,325,3.791856259
LGA13800,P,TOT$,NEG_NIL,4381,4.236124541
LGA13850,P,TOT$,NEG_NIL,179,3.675564682
LGA13910,P,TOT$,NEG_NIL,1033,3.468654511
LGA14000,P,TOT$,NEG_NIL,13331,5.806412272
LGA14100,P,TOT$,NEG_NIL,1395,6.146728354
LGA14170,P,TOT$,NEG_NIL,11754,3.813014987
LGA14200,P,TOT$,NEG_NIL,886,3.370487313
LGA14300,P,TOT$,NEG_NIL,294,2.839756592
LGA14350,P,TOT$,NEG_NIL,1426,2.981392432
LGA14400,P,TOT$,NEG_NIL,1276,3.574029466
LGA14500,P,TOT$,NEG_NIL,12172,6.460790454
LGA14550,P,TOT$,NEG_NIL,525,3.510062178
LGA14600,P,TOT$,NEG_NIL,345,3.564786113
LGA14650,P,TOT$,NEG_NIL,12221,3.789281119
LGA14700,P,TOT$,NEG_NIL,2810,4.782978723
LGA14750,P,TOT$,NEG_NIL,780,4.398578921
LGA14850,P,TOT$,NEG_NIL,2225,3.139950043
LGA14870,P,TOT$,NEG_NIL,1265,3.615215341
LGA14900,P,TOT$,NEG_NIL,20188,6.387293753
LGA14920,P,TOT$,NEG_NIL,455,3.646709946
LGA14950,P,TOT$,NEG_NIL,147,2.962515115
LGA15050,P,TOT$,NEG_NIL,4818,3.988080457
LGA15240,P,TOT$,NEG_NIL,5006,3.277143138
LGA15270,P,TOT$,NEG_NIL,1431,3.732589076
LGA15300,P,TOT$,NEG_NIL,650,3.163786809
LGA15350,P,TOT$,NEG_NIL,2207,4.703350098
LGA15520,P,TOT$,NEG_NIL,638,3.293753227
LGA15560,P,TOT$,NEG_NIL,212,3.471426232
LGA15650,P,TOT$,NEG_NIL,1088,4.364394881
LGA15700,P,TOT$,NEG_NIL,987,3.076491491
LGA15750,P,TOT$,NEG_NIL,671,3.259813447
LGA15800,P,TOT$,NEG_NIL,280,2.98253089
LGA15850,P,TOT$,NEG_NIL,366,3.614100918
LGA15900,P,TOT$,NEG_NIL,9749,3.772555424
LGA15950,P,TOT$,NEG_NIL,3830,3.239284144
LGA15990,P,TOT$,NEG_NIL,16373,4.032331551
LGA16100,P,TOT$,NEG_NIL,315,3.593839133
LGA16150,P,TOT$,NEG_NIL,2400,3.77316962
LGA16200,P,TOT$,NEG_NIL,868,3.721807735
LGA16260,P,TOT$,NEG_NIL,25302,6.854867113
LGA16350,P,TOT$,NEG_NIL,14365,4.640832216
LGA16380,P,TOT$,NEG_NIL,4060,3.101959736
LGA16400,P,TOT$,NEG_NIL,4194,3.676077448
LGA16490,P,TOT$,NEG_NIL,3157,3.502718296
LGA16550,P,TOT$,NEG_NIL,14806,6.184757409
LGA16610,P,TOT$,NEG_NIL,1223,3.315171722
LGA16650,P,TOT$,NEG_NIL,11003,5.980996488
LGA16700,P,TOT$,NEG_NIL,13599,6.985596285
LGA16900,P,TOT$,NEG_NIL,4820,4.393560972
LGA16950,P,TOT$,NEG_NIL,5360,3.216128645
LGA17000,P,TOT$,NEG_NIL,1729,4.770313147
LGA17040,P,TOT$,NEG_NIL,946,2.822195704
LGA17080,P,TOT$,NEG_NIL,838,3.553105788
LGA17100,P,TOT$,NEG_NIL,5318,7.79948375
LGA17150,P,TOT$,NEG_NIL,14164,4.00535027
LGA17200,P,TOT$,NEG_NIL,21366,5.497378158
LGA17310,P,TOT$,NEG_NIL,3090,3.249245523
LGA17350,P,TOT$,NEG_NIL,327,3.312398703
LGA17400,P,TOT$,NEG_NIL,343,3.069625917
LGA17420,P,TOT$,NEG_NIL,15102,6.107790243
LGA17550,P,TOT$,NEG_NIL,4874,3.20451288
LGA17620,P,TOT$,NEG_NIL,828,3.696428571
LGA17640,P,TOT$,NEG_NIL,444,3.500197083
LGA17650,P,TOT$,NEG_NIL,317,3.241308793
LGA17750,P,TOT$,NEG_NIL,3387,3.408301887
LGA17850,P,TOT$,NEG_NIL,149,2.918135527
LGA17900,P,TOT$,NEG_NIL,328,3.359278984
LGA17950,P,TOT$,NEG_NIL,129,3.009097271
LGA18020,P,TOT$,NEG_NIL,571,3.711165995
LGA18050,P,TOT$,NEG_NIL,3814,3.398560023
LGA18100,P,TOT$,NEG_NIL,179,2.942143327
LGA18200,P,TOT$,NEG_NIL,360,3.264121861
LGA18230,P,TOT$,NEG_NIL,2452,3.087461281
LGA18250,P,TOT$,NEG_NIL,7858,6.559539213
LGA18350,P,TOT$,NEG_NIL,3127,3.960182875
LGA18400,P,TOT$,NEG_NIL,3387,4.476014272
LGA18450,P,TOT$,NEG_NIL,15248,4.563151831
LGA18500,P,TOT$,NEG_NIL,3925,4.288164666
LGA18710,P,TOT$,NEG_NIL,829,3.251745509
LGA19399,P,TOT$,NEG_NIL,70,4.025301898
LGA19499,P,TOT$,NEG_NIL,1241,5.372992163
LGA19799,P,TOT$,NEG_NIL,24,3.149606299
LGA20110,P,TOT$,NEG_NIL,580,2.793296089
LGA20260,P,TOT$,NEG_NIL,538,2.746299132
LGA20570,P,TOT$,NEG_NIL,5975,3.633389481
LGA20660,P,TOT$,NEG_NIL,9216,4.614899274
LGA20740,P,TOT$,NEG_NIL,1711,3.11521375
LGA20830,P,TOT$,NEG_NIL,3158,4.029243273
LGA20910,P,TOT$,NEG_NIL,7730,4.912864969
LGA21010,P,TOT$,NEG_NIL,733,3.135560594
LGA21110,P,TOT$,NEG_NIL,16531,5.971038782
LGA21180,P,TOT$,NEG_NIL,21141,6.670558167
LGA21270,P,TOT$,NEG_NIL,441,4.239569314
LGA21370,P,TOT$,NEG_NIL,2098,3.447595885
LGA21450,P,TOT$,NEG_NIL,6867,4.74194484
LGA21610,P,TOT$,NEG_NIL,28776,6.216327148
LGA21670,P,TOT$,NEG_NIL,739,3.36597586
LGA21750,P,TOT$,NEG_NIL,1082,3.132690582
LGA21830,P,TOT$,NEG_NIL,969,3.692413215
LGA21890,P,TOT$,NEG_NIL,11592,4.701530674
LGA22110,P,TOT$,NEG_NIL,2337,3.084171352
LGA22170,P,TOT$,NEG_NIL,8946,4.099419867
LGA22250,P,TOT$,NEG_NIL,607,3.420296388
LGA22310,P,TOT$,NEG_NIL,13124,5.700881804
LGA22410,P,TOT$,NEG_NIL,1111,3.391848573
LGA22490,P,TOT$,NEG_NIL,1467,4.374534069
LGA22620,P,TOT$,NEG_NIL,6029,3.376342641
LGA22670,P,TOT$,NEG_NIL,18029,7.234867333
LGA22750,P,TOT$,NEG_NIL,15125,3.955820352
LGA22830,P,TOT$,NEG_NIL,3876,3.78985656
LGA22910,P,TOT$,NEG_NIL,878,3.394548618
LGA22980,P,TOT$,NEG_NIL,377,3.878600823
LGA23110,P,TOT$,NEG_NIL,7058,4.872458666
LGA23190,P,TOT$,NEG_NIL,939,2.951159721
LGA23270,P,TOT$,NEG_NIL,18887,6.153640641
LGA23350,P,TOT$,NEG_NIL,855,3.262985154
LGA23430,P,TOT$,NEG_NIL,11642,4.67204957
LGA23670,P,TOT$,NEG_NIL,13346,5.25215954
LGA23810,P,TOT$,NEG_NIL,4635,3.862789709
LGA23940,P,TOT$,NEG_NIL,448,3.542342057
LGA24130,P,TOT$,NEG_NIL,3412,4.653256052
LGA24210,P,TOT$,NEG_NIL,12532,6.42459103
LGA24250,P,TOT$,NEG_NIL,513,3.639588507
LGA24330,P,TOT$,NEG_NIL,7069,5.115568871
LGA24410,P,TOT$,NEG_NIL,7878,4.388222319
LGA24600,P,TOT$,NEG_NIL,24903,9.786722315
LGA24650,P,TOT$,NEG_NIL,12000,5.876591577
LGA24780,P,TOT$,NEG_NIL,3133,3.589226592
LGA24850,P,TOT$,NEG_NIL,2978,4.590366089
LGA24900,P,TOT$,NEG_NIL,1562,3.256405445
LGA24970,P,TOT$,NEG_NIL,24383,7.930926809
LGA25060,P,TOT$,NEG_NIL,8754,4.507004546
LGA25150,P,TOT$,NEG_NIL,2382,4.693966027
LGA25250,P,TOT$,NEG_NIL,12541,4.595068939
LGA25340,P,TOT$,NEG_NIL,9692,3.781210986
LGA25430,P,TOT$,NEG_NIL,933,2.925865529
LGA25490,P,TOT$,NEG_NIL,978,3.722877807
LGA25620,P,TOT$,NEG_NIL,875,3.790175864
LGA25710,P,TOT$,NEG_NIL,4664,4.739355757
LGA25810,P,TOT$,NEG_NIL,579,2.974111362
LGA25900,P,TOT$,NEG_NIL,5636,3.163732711
LGA25990,P,TOT$,NEG_NIL,447,3.65913556
LGA26080,P,TOT$,NEG_NIL,156,3.097696585
LGA26170,P,TOT$,NEG_NIL,1706,3.616858887
LGA26260,P,TOT$,NEG_NIL,837,3.172978506
LGA26350,P,TOT$,NEG_NIL,8421,4.628703347
LGA26430,P,TOT$,NEG_NIL,583,3.325347935
LGA26490,P,TOT$,NEG_NIL,1792,3.83808096
LGA26610,P,TOT$,NEG_NIL,1183,3.553619706
LGA26670,P,TOT$,NEG_NIL,351,3.497060875
LGA26700,P,TOT$,NEG_NIL,1377,2.966521608
LGA26730,P,TOT$,NEG_NIL,1624,2.947796413
LGA26810,P,TOT$,NEG_NIL,2724,3.851864421
LGA26890,P,TOT$,NEG_NIL,231,3.573638614
LGA26980,P,TOT$,NEG_NIL,18339,6.800357465
LGA27070,P,TOT$,NEG_NIL,18439,5.936077469
LGA27170,P,TOT$,NEG_NIL,2103,3.366254222
LGA27260,P,TOT$,NEG_NIL,21776,6.667197364
LGA27350,P,TOT$,NEG_NIL,4375,2.841702553
LGA27450,P,TOT$,NEG_NIL,10407,4.297607347
LGA27630,P,TOT$,NEG_NIL,388,3.451957295
LGA29399,P,TOT$,NEG_NIL,30,2.006688963
LGA29499,P,TOT$,NEG_NIL,760,5.572664614
LGA29799,P,TOT$,NEG_NIL,0,0
LGA30250,P,TOT$,NEG_NIL,68,3.777777778
LGA30300,P,TOT$,NEG_NIL,257,3.739813737
LGA30370,P,TOT$,NEG_NIL,941,4.216894466
LGA30410,P,TOT$,NEG_NIL,140,3.074220466
LGA30450,P,TOT$,NEG_NIL,10,2.141327623
LGA30760,P,TOT$,NEG_NIL,101,3.200253485
LGA30900,P,TOT$,NEG_NIL,11,1.558073654
LGA31000,P,TOT$,NEG_NIL,91652,4.917564847
LGA31750,P,TOT$,NEG_NIL,17,2.977232925
LGA31820,P,TOT$,NEG_NIL,5318,3.476362305
LGA31900,P,TOT$,NEG_NIL,914,3.254869841
LGA31950,P,TOT$,NEG_NIL,19,3.47985348
LGA32080,P,TOT$,NEG_NIL,9732,3.899100947
LGA32250,P,TOT$,NEG_NIL,73,2.359405301
LGA32260,P,TOT$,NEG_NIL,1606,3.422190969
LGA32270,P,TOT$,NEG_NIL,1803,4.277275639
LGA32310,P,TOT$,NEG_NIL,891,4.773129051
LGA32330,P,TOT$,NEG_NIL,68,4.200123533
LGA32450,P,TOT$,NEG_NIL,167,3.453267163
LGA32500,P,TOT$,NEG_NIL,200,2.904443799
LGA32600,P,TOT$,NEG_NIL,10,2.212389381
LGA32750,P,TOT$,NEG_NIL,7,1.467505241
LGA32770,P,TOT$,NEG_NIL,115,6.697728596
LGA32810,P,TOT$,NEG_NIL,522,2.668029645
LGA33100,P,TOT$,NEG_NIL,48,3.666921314
LGA33200,P,TOT$,NEG_NIL,118,4.660347551
LGA33220,P,TOT$,NEG_NIL,5936,3.514193529
LGA33360,P,TOT$,NEG_NIL,5359,5.617812628
LGA33430,P,TOT$,NEG_NIL,38643,4.24772049
LGA33610,P,TOT$,NEG_NIL,585,3.501107188
LGA33620,P,TOT$,NEG_NIL,2768,3.416482553
LGA33800,P,TOT$,NEG_NIL,611,3.328067978
LGA33830,P,TOT$,NEG_NIL,44,3.333333333
LGA33960,P,TOT$,NEG_NIL,13081,4.42474284
LGA33980,P,TOT$,NEG_NIL,1477,4.722470904
LGA34420,P,TOT$,NEG_NIL,54,3.901734104
LGA34530,P,TOT$,NEG_NIL,2473,4.203780513
LGA34570,P,TOT$,NEG_NIL,18,1.823708207
LGA34580,P,TOT$,NEG_NIL,2535,4.081139821
LGA34590,P,TOT$,NEG_NIL,22978,4.89203793
LGA34710,P,TOT$,NEG_NIL,188,3.167115903
LGA34770,P,TOT$,NEG_NIL,8318,4.560007017
LGA34800,P,TOT$,NEG_NIL,50,3.739715782
LGA34830,P,TOT$,NEG_NIL,12,2.696629213
LGA34860,P,TOT$,NEG_NIL,678,3.420441933
LGA34880,P,TOT$,NEG_NIL,1146,3.241041885
LGA35010,P,TOT$,NEG_NIL,27773,4.130692474
LGA35250,P,TOT$,NEG_NIL,75,4.711055276
LGA35300,P,TOT$,NEG_NIL,1125,3.962244215
LGA35600,P,TOT$,NEG_NIL,204,2.998677054
LGA35670,P,TOT$,NEG_NIL,84,6.259314456
LGA35740,P,TOT$,NEG_NIL,3143,3.594917018
LGA35760,P,TOT$,NEG_NIL,610,3.534387856
LGA35780,P,TOT$,NEG_NIL,224,6.338426712
LGA35790,P,TOT$,NEG_NIL,116,3.479304139
LGA35800,P,TOT$,NEG_NIL,91,3.448275862
LGA36070,P,TOT$,NEG_NIL,25,2.264492754
LGA36150,P,TOT$,NEG_NIL,48,3.738317757
LGA36250,P,TOT$,NEG_NIL,9730,4.074266381
LGA36300,P,TOT$,NEG_NIL,39,3.027950311
LGA36370,P,TOT$,NEG_NIL,4956,3.924114778
LGA36510,P,TOT$,NEG_NIL,2357,3.627269929
LGA36580,P,TOT$,NEG_NIL,1570,4.012882118
LGA36630,P,TOT$,NEG_NIL,1673,3.210269793
LGA36660,P,TOT$,NEG_NIL,1854,3.252289233
LGA36720,P,TOT$,NEG_NIL,17543,3.639800239
LGA36820,P,TOT$,NEG_NIL,1369,3.369016857
LGA36910,P,TOT$,NEG_NIL,9472,3.694588006
LGA36950,P,TOT$,NEG_NIL,219,4.156386411
LGA36960,P,TOT$,NEG_NIL,231,3.909290912
LGA37010,P,TOT$,NEG_NIL,12070,4.049044768
LGA37300,P,TOT$,NEG_NIL,199,3.480846598
LGA37310,P,TOT$,NEG_NIL,1922,3.68849313
LGA37340,P,TOT$,NEG_NIL,1682,3.040436724
LGA37400,P,TOT$,NEG_NIL,74,3.878406709
LGA37550,P,TOT$,NEG_NIL,39,3.058823529
LGA37570,P,TOT$,NEG_NIL,9,2.083333333
LGA37600,P,TOT$,NEG_NIL,95,2.821502822
LGA39499,P,TOT$,NEG_NIL,1145,4.896929262
LGA39799,P,TOT$,NEG_NIL,10,3.448275862
LGA40070,P,TOT$,NEG_NIL,3828,9.180736761
LGA40120,P,TOT$,NEG_NIL,2777,4.393709259
LGA40220,P,TOT$,NEG_NIL,1402,3.210662514
LGA40250,P,TOT$,NEG_NIL,110,3.181029497
LGA40310,P,TOT$,NEG_NIL,1364,3.556250815
LGA40430,P,TOT$,NEG_NIL,116,2.644778842
LGA40520,P,TOT$,NEG_NIL,514,2.969553412
LGA40700,P,TOT$,NEG_NIL,4039,5.545943868
LGA40910,P,TOT$,NEG_NIL,4231,5.040445075
LGA41010,P,TOT$,NEG_NIL,156,2.889423967
LGA41060,P,TOT$,NEG_NIL,7767,4.1130275
LGA41140,P,TOT$,NEG_NIL,450,3.045066991
LGA41190,P,TOT$,NEG_NIL,76,2.701741913
LGA41330,P,TOT$,NEG_NIL,110,3.701211306
LGA41560,P,TOT$,NEG_NIL,654,2.736859725
LGA41750,P,TOT$,NEG_NIL,69,4.09252669
LGA41830,P,TOT$,NEG_NIL,82,2.94751977
LGA41960,P,TOT$,NEG_NIL,58,2.69642027
LGA42030,P,TOT$,NEG_NIL,1393,3.674976916
LGA42110,P,TOT$,NEG_NIL,243,3.54382383
LGA42250,P,TOT$,NEG_NIL,413,3.097809781
LGA42600,P,TOT$,NEG_NIL,1984,3.241247488
LGA42750,P,TOT$,NEG_NIL,212,2.697544217
LGA43080,P,TOT$,NEG_NIL,76,4.293785311
LGA43220,P,TOT$,NEG_NIL,47,2.908415842
LGA43360,P,TOT$,NEG_NIL,116,2.941176471
LGA43650,P,TOT$,NEG_NIL,963,4.171178585
LGA43710,P,TOT$,NEG_NIL,309,3.500623088
LGA43790,P,TOT$,NEG_NIL,570,3.010934446
LGA43920,P,TOT$,NEG_NIL,666,4.68651045
LGA44000,P,TOT$,NEG_NIL,0,0
LGA44060,P,TOT$,NEG_NIL,6365,4.287350128
LGA44210,P,TOT$,NEG_NIL,489,3.256960171
LGA44340,P,TOT$,NEG_NIL,4856,4.547625514
LGA44550,P,TOT$,NEG_NIL,2083,3.907041302
LGA44620,P,TOT$,NEG_NIL,1280,3.037133705
LGA44830,P,TOT$,NEG_NIL,197,4.017128874
LGA45040,P,TOT$,NEG_NIL,1203,3.488372093
LGA45090,P,TOT$,NEG_NIL,445,3.330589028
LGA45120,P,TOT$,NEG_NIL,239,3.2071927
LGA45290,P,TOT$,NEG_NIL,2903,4.789875757
LGA45340,P,TOT$,NEG_NIL,10574,3.89960023
LGA45400,P,TOT$,NEG_NIL,32,2.162162162
LGA45540,P,TOT$,NEG_NIL,94,3.250345781
LGA45680,P,TOT$,NEG_NIL,5886,4.276466357
LGA45890,P,TOT$,NEG_NIL,9835,4.874265267
LGA46090,P,TOT$,NEG_NIL,696,3.106449453
LGA46300,P,TOT$,NEG_NIL,616,2.716528488
LGA46450,P,TOT$,NEG_NIL,972,3.408971346
LGA46510,P,TOT$,NEG_NIL,1456,4.269669511
LGA46670,P,TOT$,NEG_NIL,516,3.285577841
LGA46860,P,TOT$,NEG_NIL,60,2.518891688
LGA46970,P,TOT$,NEG_NIL,237,4.143356643
LGA47140,P,TOT$,NEG_NIL,10904,4.920866296
LGA47290,P,TOT$,NEG_NIL,87,2.590827874
LGA47490,P,TOT$,NEG_NIL,95,2.862307924
LGA47630,P,TOT$,NEG_NIL,353,3.282804799
LGA47700,P,TOT$,NEG_NIL,6665,4.136642647
LGA47800,P,TOT$,NEG_NIL,302,3.423648112
LGA47910,P,TOT$,NEG_NIL,127,2.923572744
LGA47980,P,TOT$,NEG_NIL,2795,4.403932814
LGA48050,P,TOT$,NEG_NIL,684,2.682247755
LGA48130,P,TOT$,NEG_NIL,438,4.003290376
LGA48260,P,TOT$,NEG_NIL,634,4.926950575
LGA48340,P,TOT$,NEG_NIL,665,3.479671393
LGA48410,P,TOT$,NEG_NIL,4688,4.740141557
LGA48540,P,TOT$,NEG_NIL,1509,4.278908864
LGA48640,P,TOT$,NEG_NIL,44,2.261048304
LGA48750,P,TOT$,NEG_NIL,264,2.973977695
LGA48830,P,TOT$,NEG_NIL,586,3.074662889
LGA49399,P,TOT$,NEG_NIL,124,2.044854881
LGA49499,P,TOT$,NEG_NIL,275,5.198487713
LGA49799,P,TOT$,NEG_NIL,0,0
LGA50080,P,TOT$,NEG_NIL,2103,3.527694837
LGA50210,P,TOT$,NEG_NIL,6790,5.487666893
LGA50250,P,TOT$,NEG_NIL,485,2.145353209
LGA50280,P,TOT$,NEG_NIL,754,3.379801874
LGA50350,P,TOT$,NEG_NIL,1110,4.479238126
LGA50420,P,TOT$,NEG_NIL,5224,4.794816018
LGA50490,P,TOT$,NEG_NIL,3178,4.772775058
LGA50560,P,TOT$,NEG_NIL,103,3.490342257
LGA50630,P,TOT$,NEG_NIL,162,5.619146722
LGA50770,P,TOT$,NEG_NIL,123,4.471101418
LGA50840,P,TOT$,NEG_NIL,307,3.998957926
LGA50910,P,TOT$,NEG_NIL,48,2.966625464
LGA50980,P,TOT$,NEG_NIL,804,3.259944046
LGA51080,P,TOT$,NEG_NIL,45,2.581755594
LGA51120,P,TOT$,NEG_NIL,45,3.048780488
LGA51190,P,TOT$,NEG_NIL,2019,3.826545117
LGA51260,P,TOT$,NEG_NIL,2218,3.796320068
LGA51310,P,TOT$,NEG_NIL,2020,4.777672658
LGA51330,P,TOT$,NEG_NIL,10979,7.385110047
LGA51400,P,TOT$,NEG_NIL,1403,5.409886635
LGA51470,P,TOT$,NEG_NIL,36,3.973509934
LGA51540,P,TOT$,NEG_NIL,313,3.554394731
LGA51610,P,TOT$,NEG_NIL,94,4.302059497
LGA51680,P,TOT$,NEG_NIL,540,6.123143214
LGA51750,P,TOT$,NEG_NIL,958,5.663277371
LGA51820,P,TOT$,NEG_NIL,8715,5.213443086
LGA51890,P,TOT$,NEG_NIL,697,4.889169473
LGA51960,P,TOT$,NEG_NIL,354,6.377229328
LGA52030,P,TOT$,NEG_NIL,81,4.525139665
LGA52100,P,TOT$,NEG_NIL,48,2.635914333
LGA52170,P,TOT$,NEG_NIL,560,4.478208717
LGA52240,P,TOT$,NEG_NIL,51,2.899374645
LGA52310,P,TOT$,NEG_NIL,52,3.656821378
LGA52380,P,TOT$,NEG_NIL,14,4.255319149
LGA52450,P,TOT$,NEG_NIL,163,6.950959488
LGA52520,P,TOT$,NEG_NIL,93,4.109589041
LGA52590,P,TOT$,NEG_NIL,207,3.812154696
LGA52660,P,TOT$,NEG_NIL,1064,4.835924007
LGA52730,P,TOT$,NEG_NIL,358,3.704086912
LGA52800,P,TOT$,NEG_NIL,277,2.413312424
LGA52870,P,TOT$,NEG_NIL,456,4.728818832
LGA52940,P,TOT$,NEG_NIL,28,2.629107981
LGA53010,P,TOT$,NEG_NIL,21,1.931922723
LGA53080,P,TOT$,NEG_NIL,42,3.19391635
LGA53150,P,TOT$,NEG_NIL,510,4.226752859
LGA53220,P,TOT$,NEG_NIL,351,1.954125376
LGA53290,P,TOT$,NEG_NIL,844,3.734182816
LGA53360,P,TOT$,NEG_NIL,121,2.795102795
LGA53430,P,TOT$,NEG_NIL,1784,3.598805777
LGA53570,P,TOT$,NEG_NIL,441,5.087678819
LGA53640,P,TOT$,NEG_NIL,67,3.437660339
LGA53710,P,TOT$,NEG_NIL,49,2.985984156
LGA53780,P,TOT$,NEG_NIL,12201,6.530535781
LGA53800,P,TOT$,NEG_NIL,2709,4.427628138
LGA53920,P,TOT$,NEG_NIL,145,3.020833333
LGA53990,P,TOT$,NEG_NIL,2103,5.089052367
LGA54060,P,TOT$,NEG_NIL,286,4.826189673
LGA54130,P,TOT$,NEG_NIL,48,2.742857143
LGA54170,P,TOT$,NEG_NIL,12940,5.179003822
LGA54200,P,TOT$,NEG_NIL,4899,5.293354943
LGA54280,P,TOT$,NEG_NIL,2234,4.822866518
LGA54310,P,TOT$,NEG_NIL,1583,4.896835463
LGA54340,P,TOT$,NEG_NIL,227,3.418159916
LGA54410,P,TOT$,NEG_NIL,75,3.723932473
LGA54480,P,TOT$,NEG_NIL,33,3.837209302
LGA54550,P,TOT$,NEG_NIL,76,2.433557477
LGA54620,P,TOT$,NEG_NIL,32,2.263083451
LGA54690,P,TOT$,NEG_NIL,29,4.40060698
LGA54760,P,TOT$,NEG_NIL,33,2.654867257
LGA54830,P,TOT$,NEG_NIL,3309,5.472225438
LGA54900,P,TOT$,NEG_NIL,61,3.096446701
LGA54970,P,TOT$,NEG_NIL,31,1.527093596
LGA55040,P,TOT$,NEG_NIL,55,2.329521389
LGA55110,P,TOT$,NEG_NIL,6695,5.051877004
LGA55180,P,TOT$,NEG_NIL,512,3.401993355
LGA55250,P,TOT$,NEG_NIL,44,2.491506229
LGA55320,P,TOT$,NEG_NIL,8668,5.332349051
LGA55390,P,TOT$,NEG_NIL,17,1.997649824
LGA55460,P,TOT$,NEG_NIL,258,4.781319496
LGA55530,P,TOT$,NEG_NIL,27,3.673469388
LGA55600,P,TOT$,NEG_NIL,114,2.987421384
LGA55670,P,TOT$,NEG_NIL,81,6.905370844
LGA55740,P,TOT$,NEG_NIL,792,5.460939116
LGA55810,P,TOT$,NEG_NIL,23,2.929936306
LGA55880,P,TOT$,NEG_NIL,31,3.708133971
